rank,ranking-institution-title,ranking-institution-title href,location,overall,resources,engagement,outcomes,enviroment
52,Wake Forest University,https://www.timeshighereducation.com/world-university-rankings/wake-forest-university#ranking-dataset/634830,North Carolina,74.5,23,16.1,30.8,4.5
53,Georgia Institute of Technology,https://www.timeshighereducation.com/world-university-rankings/georgia-institute-technology#ranking-dataset/634830,Georgia,74.2,15.6,15.6,35.8,7.1
54,Davidson College,https://www.timeshighereducation.com/world-university-rankings/davidson-college#ranking-dataset/634830,North Carolina,74,22.2,15.7,31.4,4.7
55,Colgate University,https://www.timeshighereducation.com/world-university-rankings/colgate-university#ranking-dataset/634830,New York,73.9,23.4,15.9,29.2,5.3
56,University of Texas at Austin,https://www.timeshighereducation.com/world-university-rankings/university-texas-austin#ranking-dataset/634830,Texas,73.8,16.5,17.4,33.2,6.6
56,University of Virginia,https://www.timeshighereducation.com/world-university-rankings/university-virginia#ranking-dataset/634830,Virginia,73.8,17.7,16,35.1,5
58,University of Florida,https://www.timeshighereducation.com/world-university-rankings/university-florida#ranking-dataset/634830,Florida,73.6,14.8,17,35.5,6.4
59,Bucknell University,https://www.timeshighereducation.com/world-university-rankings/bucknell-university#ranking-dataset/634830,Pennsylvania,73.3,22.6,16.7,30.2,3.7
60,Boston College,https://www.timeshighereducation.com/world-university-rankings/boston-college#ranking-dataset/634830,Massachusetts,73.1,18,15.7,34.8,4.7
61,Hamilton College,https://www.timeshighereducation.com/world-university-rankings/hamilton-college#ranking-dataset/634830,New York,73,23,16.6,29,4.4
61,University of Richmond,https://www.timeshighereducation.com/world-university-rankings/university-richmond#ranking-dataset/634830,Virginia,73,23.4,17.1,27.4,5
63,Oberlin College,https://www.timeshighereducation.com/world-university-rankings/oberlin-college#ranking-dataset/634830,Ohio,72.9,23,15.7,29.3,4.9
64,George Washington University,https://www.timeshighereducation.com/world-university-rankings/george-washington-university#ranking-dataset/634830,District of Columbia,72.7,21,16.1,29.3,6.4
65,Colby College,https://www.timeshighereducation.com/world-university-rankings/colby-college#ranking-dataset/634830,Maine,72.4,22.4,16.1,28.9,5
66,Bates College,https://www.timeshighereducation.com/world-university-rankings/bates-college#ranking-dataset/634830,Maine,72.2,22.6,16.1,28.8,4.7
